1439,1560
1168,1278
649,714
724,817
185,209
529,608
92,104
35,37
82,94
148,174
32,35
88,103
55,63
21,22
91,108
32,36
34,39
74,89
13,13
138,171
63,77
18,20
39,47
38,46
53,66
40,49
9,9
458,595
15,17
136,175
11,12
14,16
8,8
13,14
7,7
10,11
13,15
14,16
43,55
10,11
42,54
27,34
18,22
15,18
112,148
9,10
29,37
6,6
12,14
17,21
14,17
37,48
14,17
17,21
6,6
22,28
8,9
37,49
6,6
11,13
13,16
5,5
5,5
12,15
12,15
38,51
5,5
39,52
9,11
5,5
57,78
34,46
14,18
6,7
6,7
4,4
12,15
4,4
4,4
4,4
9,11
54,74
13,17
4,4
8,10
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
4,4
35,48
3,3
4,4
4,4
4,4
4,4
3,3
3,3
10,13
3,3
5,6
5,6
5,6
5,6
6,7
3,3
3,3
3,3
5,6
10,13
5,6
4,4
19,26
10,13
3,3
3,3
17,23
3,3
3,3
3,3
7,9
7,9
7,9
7,9
4,4
3,3
3,3
3,3
6,7
3,3
3,3
3,3
3,3
3,3
14,19
7,9
3,3
3,3
5,6
7,9
3,3
3,3
16,22
8,10
3,3
16,22
3,3
3,3
3,3
3,3
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
3,3
2,2
16,22
3,3
3,3
2,2
7,9
3,3
7,9
5,6
11,15
5,6
2,2
7,9
3,3
7,9
2,2
2,2
2,2
3,3
3,3
2,2
3,3
2,2
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
3,3
3,3
2,2
5,6
4,5
9,12
4,5
13,18
2,2
3,3
3,3
3,3
2,2
7,9
2,2
2,2
7,9
2,2
4,5
3,3
4,5
2,2
3,3
2,2
2,2
3,3
3,3
5,6
2,2
2,2
3,3
2,2
2,2
9,12
2,2
5,6
4,5
9,12
2,2
2,2
2,2
9,12
3,3
2,2
6,8
6,8
6,8
6,8
6,8
6,8
6,8
2,2
2,2
2,2
2,2
3,3
2,2
3,3
2,2
2,2
2,2
2,2
3,3
6,8
2,2
2,2
2,2
3,3
2,2
3,3
2,2
2,2
2,2
2,2
3,3
3,3
2,2
4,4
2,2
2,2
2,2
5,6
3,3
2,2
8,11
8,11
8,11
4,5
4,5
3,3
2,2
4,5
2,2
2,2
2,2
3,3
4,5
2,2
2,2
6,8
2,2
2,2
2,2
3,3
6,8
3,3
4,5
4,5
2,2
2,2
8,11
7,9
2,2
2,2
6,8
7,9
2,2
2,2
2,2
2,2
3,3
2,2
2,2
2,2
2,2
2,2
4,5
2,2
2,2
3,3
2,2
2,2
2,2
6,8
2,2
2,2
2,2
2,2
4,5
2,2
4,5
2,2
2,2
4,5
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
4,5
2,2
2,2
2,2
2,2
2,2
4,5
2,2
2,2
2,2
2,2
4,5
8,11
2,2
2,2
4,5
2,2
6,8
2,2
2,2
2,2
2,2
2,2
2,2
2,2
8,11
4,5
3,3
3,3
4,5
2,2
2,2
2,2
2,2
2,2
2,2
2,2
3,3
3,3
2,2
2,2
4,5
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
